Act or Con,Name,Row,[Prereq Concepts],[New Concepts (Activities Only)],[Representations],Course Number,Figure,Long Description,External URL,Status,Notes
Concept,You can flip a derivative,16,[],[],[$\frac{d f}{d x}$],MTH 251,,"In other words, $\frac{dy}{dx} = \frac{1}{\frac{dx}{dy}}$.  Note that this concept is challenging to express in Newton's notation, but arises naturally if implicit differentiation is covered.",,Active,
Concept,"""With respect to what"" matters",17,[],[],[$\frac{d f}{d x}$],MTH 251,,"Taking derivatives of the same function with respect to different variables will produce different results. In physics, these different results might have different dimensions and thus the derivative can have wildly different physical interpretations based off of ""'with respect to' what"". ",,Active,
Concept,Derivatives can be found while holding one or more variables constant,18,[Variables can be held constant],[],[$\left(\frac{\partial f}{\partial x}\right)_y$],MTH 254,,Derivatives of multivariable functions can be found by holding one ore more variables constant (subject to physical limitations). ,,Active,
Concept,There is a partial derivative in every direction at any point,19,[],[],[2D Graph],MTH 254,,"For a smooth, two dimensional function, a partial derivative can be found at any point and in any direction.",,Active,
Concept,There is a tangent line in every direction at every point,20,[],[],[2D Graph],MTH 254,,"For a smooth, two dimensional function, a tangent line exists at any point and in any direction.",,Active,
Concept,The derivative is related to the density of contour lines,21,[],[],[Contour Maps],MTH 254,,"The magnitude of the derivative of a function is directly related to how closely together lie contour lines of the function: the closer together the contour lines, the greater the magnitude of the derivative.",,Active,
Concept,The value of a partial derivative depends on the value(s) of what is held constant,22,[],[],[$\left(\frac{\partial f}{\partial x}\right)_y$],MTH 254,,A long description for The value of a partial derivative depends on the value(s) of what is held constant is not yet available--feel free to give us your suggestions on the poster!,,Active,Is this really a statement about paths? I don't think we have path-related concepts.
Concept,A partial derivative can be expressed in terms of other partial derivatives,23,[Single variable chain rule],[],"[$\frac{\partial f}{\partial x}$,$\left(\frac{\partial f}{\partial x}\right)_y$]",MTH 254,,A long description for A partial derivative can be expressed in terms of other partial derivatives is not yet available--feel free to give us your suggestions on the poster!,,Active,What do we really want to say in this long description?
Concept,The gradient is a vector,24,[],[],[$\vec \nabla f$],MTH 254,,"For an $n-$dimensional function $f$, the gradient of $f$ at a point is an $n-$dimensional vector ",,,
Concept,The magnitude of the gradient is the value of the slope in the steepest direction,25,"[The derivative at a point is the slope of a tangent line at that point,The gradient is a vector]",[],[$\vec \nabla f$],MTH 254,,A long description for The magnitude of the gradient is the value of the slope in the steepest direction is not yet available--feel free to give us your suggestions on the poster!,,Active,What more needs to be said in the long description?
Concept,The gradient is perpendicular to contour lines,26,[],[],[Contour Maps],MTH 254,,"As the gradient lies along the direction of greatest change for a function, and contour lines lie along the direction of no change, these two objects (the gradient and contour lines) are perpendicular.",,Active,
Concept,All partial derivatives can be found as a slope of a tangent plane,27,"[The derivative at a point is the slope of a tangent line at that point,There is a partial derivative in every direction at any point]",[],[2D Graph],MTH 254,,"Just as the derivative of a one-dimensional funtion at a point is equal to the slope of a tangent line at that point, and partial derivative of a multivariable function can be found as a slope of a tangent plane. ",,Active,
Concept,The derivative is a local quantity,28,[],[],[$\frac{d f}{d x}$],MTH 254,,"The value of the derivative is a function of the same variables as the original function. Thus, it's value depends on where the derivative is being evaluated. Geometrically, the derivative (slope) of a curve at a point is not a statement about the general shape of the curve but rather about the behavior of the curve immediately around that point. ",,Active,
Concept,Partial derivatives are functions,29,[The derivative is a function],[],"[$\frac{\partial f}{\partial x}$,$\left(\frac{\partial f}{\partial x}\right)_y$]",MTH 254,,The partial derivative of a function is itself a function (although taking a partial derivative at a point will just give a number). ,,Active,
Concept,The gradient is a function,30,[The derivative is a function],[],[$\vec \nabla f$],MTH 254,,The gradient of a function (unless taken at a single point) is itself a function,,Active,
Concept,The components of the gradient are partial derivatives,28,[],[],"[$\vec \nabla f$,$\left(\frac{\partial f}{\partial x}\right)_y$]",MTH 254,,This is the long description for The components of the gradient are partial derivatives. It is quite a long description!,,Active,What do we really want to say in the long description?
Activity,The Heater II,32,"[The derivative is a ratio of small changes, Variables can be held constant, ""With respect to what"" matters]",,[Contour Maps],MTH 254,mvheater2.jpg,"This small group activity is designed to help students interpret partial derivatives using contour diagrams. Students work in small groups to determine rates of change using a contour diagram showing isotherms over time and space. The whole class wrap-up discussion emphasizes giving a physical interpretation for the derivative, the value of units in thinking about functions and derivatives, and the need to specify “with respect to what” when finding derivatives in multivariable contexts.",mvheater2,Active,
Activity,The Hot Plate,33,"[The derivative at a point is the slope of a tangent line at that point, The derivative is a function, The derivative at a cusp is undefined, ""With respect to what"" matters]","[There is a partial derivative in every direction at any point, There is a tangent line in every direction at every point, The derivative is related to the density of contour lines, The value of a partial derivative depends on the value(s) of what is held constant]","[$\frac{\partial f}{\partial x}$, Contour Maps, Inclinometer]",MTH 254,mvhotplate.jpg,This small group activity using surfaces introduces a geometric interpretation of partial derivatives in terms of measured ratios of small changes. Students work in small groups to identify locations on their surface with particular properties. The whole class wrap-up discussion emphasizes the equivalence of multiple representations of partial derivatives.,mvhotplate,Active,
Activity,Chain Rule,34,"[The derivative is a function, The derivative is a linear function, Variables can be held constant, Product rule, ""With respect to what"" matters, Single variable chain rule]",[A partial derivative can be expressed in terms of other partial derivatives],[$\frac{\partial f}{\partial x}$],MTH 254,TreeDiagram.jpg,This activity is still in development!,mvchain,Active,
Activity,Chain Rule Measurements,35,"[The derivative at a point is the slope of a tangent line at that point, A partial derivative can be expressed in terms of other partial derivatives]",[],"[$\frac{\partial f}{\partial x}$, Inclinometer]",MTH 254,,"This small group activity using surfaces combines practice with the multivariable chain rule while emphasizing numerical representations of derivatives. Students work in small groups to measure partial derivatives in both rectangular and polar coordinates, then verify their results using the chain rule. The whole class wrap-up discussion emphasizes the relationship between a directional derivative in the r-direction and derivatives in x- and y-directions using the chain rule.",mvpchain,Active,
Activity,The Hillside,36,"[The derivative at a point is the slope of a tangent line at that point, Derivatives can be found while holding one or more variables constant, There is a partial derivative in every direction at any point, There is a tangent line in every direction at every point]","[The gradient points in the direction of greatest increase of the function,The magnitude of the gradient is the value of the slope in the steepest direction, The gradient is perpendicular to contour lines]","[$\frac{\partial f}{\partial x}$,surface, Inclinometer]",MTH 254,vchill.jpg,"This small group activity using surfaces introduces the gradient.  Students work in small groups to determine the steepest slope and direction at a given point, then compare these results with the computed gradient.  The whole class wrap-up discussion emphasizes the geometric properties of the gradient.",mvhillside,Active,
Activity,Directional Derivatives,37,"[The derivative is a linear function, There is a partial derivative in every direction at any point, A partial derivative can be expressed in terms of other partial derivatives]","[All partial derivatives can be found as a slope of a tangent plane, The components of the gradient are partial derivatives]","[$\frac{\partial f}{\partial x}$, Inclinometer,$\vec \nabla f$]",MTH 254,MathSurfaces1.jpg,"This small group activity using surfaces relates the geometric definition of directional derivatives to the components of the gradient vector. Students work in small groups to measure a directional derivative directly, then compare its components with measured partial derivatives in rectangular coordinates. The whole class wrap-up discussion emphasizes the relationship between the geometric gradient vector and directional derivatives.",mvdderiv,Active,
Concept,The gradient points in the direction of greatest increase of the function,,"[The derivative at a point is the slope of a tangent line at that point,The gradient is a vector]",,"[$\vec \nabla f$, surface, Contour Maps]",MTH 255,,At a point on a multivariable function there is a derivative in every direction. The derivative with the largest value is known as the gradient and it points in the direction in which the derivative of the function is the largest.,,Active,NEW
Concept,Each component of $d \vec r$ is an arbitrary small change between two arbitrary position vectors. ,39,[Difference / Change],[],[$d \vec r$],MTH 255,,A long description for Each component of $d \vec r$ is an arbitrary small change between two arbitrary position vectors.  is not yet available--feel free to give us your suggestions on the poster!,,Active,This concept doesn't make any sense.
Concept,The magnitude of $d\vec r$ is the length of a small step along a path,40,[Difference / Change],[],[$d \vec r$],PH 422,,A long description for The magnitude of $d\vec r$ is the length of a small step along a path is not yet available--feel free to give us your suggestions on the poster!,,Active,What more needs to be in the long description? What is the point?
Concept,The direction of $d\vec r$ is tangent to a path,41,[],[],[$d \vec r$],PH 422,,A long description for The direction of $d\vec r$ is tangent to a path is not yet available--feel free to give us your suggestions on the poster!,,Active,Tangent to what path? How is this useful?
Concept,The gradient can tell you a small change in a function in any direction (differentials edition),42,[Difference / Change],[],"[$\vec \nabla f$,$d \vec r$]",MTH 255,,$df=\vec \nabla f \cdot d \vec r$,,Active,
Concept,The divergence is a scalar field,43,[],[],[$\vec \nabla \cdot \vec v$],,,The divergence at a point is a scalar. Taking the divergence of a function yields a scalar at every value in the domain of that function: a scalar field,,Active,
Concept,$\vec\nabla\cdot\vec v = \frac{\partial v_x}{\partial x} + \frac{\partial v_y}{\partial y}+\frac{\partial v_z}{\partial z}$,44,[],[],[$\vec \nabla \cdot \vec v$],MTH 255,,,,Active,What are we really trying to say?
Concept,$\vec\nabla\times\vec v = \cdots$,45,[],[],[$\vec \nabla \times \vec v$],MTH 255,,,,Active,What are we really trying to say?
concept,$\oint\vec F\cdot d\vec A = \int\vec\nabla\cdot\vec F dV$,46,[],[],[],MTH 255,,,,Active,What are we really trying to say?
concept,$\oint \vec F\cdot d\vec r = \int \vec\nabla\times\vec F\cdot d\vec A$,47,[],[],[],MTH 255,,,,Active,What are we really trying to say?
Activity,The Master Formula,[],[],"[The gradient is a vector,The gradient points in the direction of greatest increase of the function,The magnitude of the gradient is the value of the slope in the steepest direction, The gradient is perpendicular to contour lines]","[$df$,$\vec \nabla f$,$d \vec r$]",MTH 255,,,,Active,NEW
Activity,The Hill,49,"[Derivatives can be found while holding one or more variables constant, There is a partial derivative in every direction at any point, The derivative is related to the density of contour lines, The value of a partial derivative depends on the value(s) of what is held constant]","[The gradient points in the direction of greatest increase of the function,The magnitude of the gradient is the value of the slope in the steepest direction, The gradient is perpendicular to contour lines]","[Contour Maps, $\vec \nabla f$]",MTH 255,vchill.jpg,"This small group activity is designed to reinforce the geometric definition of the gradient. Students work in small groups to construct the gradient vector at different points on a hill. Then, students compare and contrast their findings to reinforce that the gradient is a vector field, but also that it is a local quantity. The whole class wrap-up discussion emphasizes that the gradient lives in the domain, not on the graph.",vchill,Active,
Activity,The Valley,50,[The components of the gradient are partial derivatives],[The gradient can tell you a small change in a function in any direction (differentials edition)],[Contour Maps],MTH 255,vcvalley.jpg,"This small group activity is designed to reinforce the geometry of line integrals, and to set the stage for path independence, and builds on the Hill activity.  Students work in small groups to evaluate the elevation change along different paths. The whole class wrap-up discussion reinforces the importance of a “Use what you know!” strategy to evaluate line integrals, and emphasizes that different paths with the same endpoints must have the same elevation gain.",vcvalley,Active,Correct prereq concept?
Concept,Differential form of $\vec r$ in spherical and cylindrical coordinates,51,[The derivative is a local quantity],[],[$d \vec r$],PH 422,,A long description for Differential form of $\vec r$ in spherical and cylindrical coordinates is not yet available--feel free to give us your suggestions on the poster!,,Active,Isn't this just d vec r = d vec r? 
Concept,The gradient lives in the domain and has the same number of spacial dimensions as the origional function,52,[],[],[$\vec \nabla f$],PH 422,,"The gradient of an $n$ dimensional function is $n$ dimensional. This is not to be confused with the gradient having the same physical dimensions (e.g., Newtons) as the origional function.",,Active,
Concept,The gradient is a local quantity,53,[The derivative is a local quantity],[],[$\vec \nabla f$],PH 422,,"The magnitude and direction of the gradient depends on the behavior of the function infinitesimally near the point of interest.  For example, the gradient does not point in the direction of maxima a finite distance away (except accidentally), but rather in the direction of steepest slope at the point of interest.",,Active,
Concept,The electric field is the negative gradient of the electric potential,54,[],[],[$\vec \nabla f$],PH 422,,"While the magnitude of the electric field is equal to the gradient of the electric potential, the electric field points in the opposite direction of the gradient of the electric potential, and thus $\vec E = - \vec \nabla V$.",,Active,
Concept,The divergence is related to the total flux through a closed surface,55,[],[],[$\vec \nabla \cdot \vec v$],PH 422,,"If the total flux through a closed surface is not zero, then the divergence of the function at that point is non-zero. ",,Active,fixme
Concept,The divergence is a function,56,[The derivative is a function],[],[$\vec \nabla \cdot \vec v$],PH 422,,The divergence of a function (unless taken at a single point) is itself a function,,Active,Is this all that we want to say?
Concept,The divergence is a local quantity,57,[The derivative is a local quantity],[],[$\vec \nabla \cdot \vec v$],PH 422,,A long description for The divergence is a local quantity is not yet available--feel free to give us your suggestions on the poster!,,Active,fixme
Concept,The divergence of the electric field is equal to,58,[],[],[$\vec \nabla \cdot \vec v$],PH 422,,A long description for The divergence of the electric field is equal to is not yet available--feel free to give us your suggestions on the poster!,,Active,fixme (incomplete concept)
Concept,The divergence of the magnetic field is zero,59,[],[],[$\vec \nabla \cdot \vec v$],PH 422,,A long description for The divergence of the magnetic field is zero is not yet available--feel free to give us your suggestions on the poster!,,Active,Do we want to discuss the reasons or implications?
Concept,"The curl is related to the line integral around a closed loop. (""circulation"")",60,[],[],[$\vec \nabla \times \vec v$],PH 422,,"A long description for The curl is related to the line integral around a closed loop. (""circulation"") is not yet available--feel free to give us your suggestions on the poster!",,Active,Do we want to include how it is related?
Concept,the curl is a (vector) function,61,[The derivative is a function],[],[$\vec \nabla \times \vec v$],PH 422,,A long description for the curl is a (vector) function is not yet available--feel free to give us your suggestions on the poster!,,Active,What do we really want to say in the long description?
Concept,The curl is a local quantity,62,[The derivative is a local quantity],[],[$\vec \nabla \times \vec v$],PH 422,,A long description for The curl is a local quantity is not yet available--feel free to give us your suggestions on the poster!,,Active,What do we really want to say in the long description?
Concept,The magnetic field is equal to the curl of the magnetic vector potential,63,[],[],[$\vec \nabla \times \vec v$],PH 422,,A long description for The magnetic field is equal to the curl of the magnetic vector potential is not yet available--feel free to give us your suggestions on the poster!,,Active,What do we really want to say in the long description?
Concept,The curl of the electric field is zero in electrostatics,64,[],[],[$\vec \nabla \times \vec v$],PH 422,,A long description for The curl of the electric field is zero in electrostatics is not yet available--feel free to give us your suggestions on the poster!,,Active,What more needs to be said in the long description?
Concept,The divergence of the curl is equal to mu times the current in magneto-statics,65,[],[],"[$\vec \nabla \cdot \vec v$,$\vec \nabla \times \vec v$]",PH 422,,A long description for The divergence of the curl is equal to mu times the current in magneto-statics is not yet available--feel free to give us your suggestions on the poster!,,Active,What more needs to be in the long description?
Activity,Vector Differentials,66,"[Difference / Change, Each component of $d \vec r$ is an arbitrary small change between two arbitrary position vectors. ]","[Differential form of $\vec r$ in spherical and cylindrical coordinates, The magnitude of $d\vec r$ is the length of a small step along a path, The direction of $d\vec r$ is tangent to a path]","[$d \vec r$, 3D plots]",PH 422,vfdrvectorcurvi.jpg,"We use the vector differential to create a unified view of calculus. Students have a lot of difficulty writing down exact differentials and writing down equations for vectors in curvilinear coordinates. This activity allows students to use geometric reasoning to practice both of these skills.  In particular, students are provided with a variety of alternate tangible representations for rectangular, cylindrical, and spherical coordinates, including oatmeal cans, globes, pineapples, and pumpkins.",vfdrvectorcurvi,Active,
Activity,Acting out the Gradient,67,[The magnitude of the gradient is the value of the slope in the steepest direction],"[The gradient lives in the domain and has the same number of spacial dimensions as the origional function, The gradient is a local quantity]","[$\vec \nabla f$, Kinesthetic, Contour Maps]",PH 422,vfactinggrad.jpg,"Oftentimes, students are not correctly interpreting situations geometrically when it seems they are. This activity is designed to test the ability of a class to represent the gradient physically for a function $f(x,y)$ that represents an elliptical hill. In the activity, the students themselves as points distributed throughout the classroom represent a vector field, using their right arm as a vector pointing in the direction of the gradient. The instructor will also have the opportunity to clarify the proper gradient direction (in the $xy$-plan) for students that are pointing incorrectly (``up'' the hill).",vfactinggrad,Active,
Activity,Visualizing Gradient,68,"[The magnitude of the gradient is the value of the slope in the steepest direction, The gradient is perpendicular to contour lines]","[The gradient lives in the domain and has the same number of spacial dimensions as the origional function, The gradient is a local quantity]","[Kinesthetic, Vector Field Map, Contour Maps]",PH 422,vfgradient.jpg,"Building a geometric understanding of the gradient can be challenging for students, particularly in physics classrooms when their only prior exposure to the gradient is in mathematics courses. This activity is a follow-up to Acting out the Gradient, in which students use Mathematica to calculate and visualize the gradient for different representations of scalar fields.  Students explicitly compare and contrast these different representations, in particular identifying that the gradient is always perpendicular to constant surfaces.",vfgradient,Active,
Activity,Visualizing Divergence,69,"[The derivative is a ratio of small changes, The derivative is a limit, The derivative is a function, The divergence is a scalar field]","[The divergence is related to the total flux through a closed surface, The divergence is a function, The divergence is a local quantity]",[Vector Field Map],PH 422,vfdivergence.jpg,"The traditional discussion of divergence in vector calculus derives an algebraic expression in rectangular coordinates. We prefer to give a geometric derivation as flux per unit volume through an appropriately shaped box. In this activity, students learn how to predict the value of the divergence at any point by looking at the vector field near that point.  The activity is an excellent one for fostering representational fluency, as students can be asked to engage with vector field maps on paper, plots in Mathematica, and symbolic expressions for vector fields.  A nice extension is to have students consider vector fields that have different fundamental symmetries and to recognize that they can adjust the shape of the infinitesimal box to take advantage of such symmetry.",vfdivergence,Active,
Activity,Visualizing Curl,70,"[The derivative is a ratio of small changes, The derivative is a limit, The derivative is a function]","[The curl is related to the line integral around a closed loop. (""circulation""), the curl is a (vector) function, The curl is a local quantity]",[Vector Field Map],PH 422,vfcurlvis.jpg,"The traditional discussion of curl in vector calculus derives an algebraic expression in rectangular coordinates. As with divergence (see the Visualizing Divergence activity), we prefer to give a geometric derivation as circulation per unit area around an appropriately shaped closed curve. In this activity, students learn how to predict the value of the curl at any point by looking at the vector field near that point.  The activity is an excellent one for fostering representational fluency, as students can be asked to engage with vector field maps on paper, plots in Mathematica, and symbolic expressions for vector fields.  A nice extension is to have students consider vector fields that have different fundamental symmetries and to recognize that they can adjust the shape of the infinitesimal box to take advantage of such symmetry.",vfcurlvis,Active,
Concept,Differentials are small changes or differences,71,[Difference / Change],[],[$df$],PH 423,differentials.jpg,"One typical notation used for derivatives is Leibniz notation ($e.g.,$ $df/dx$).  Physicists often think of the $df$ and $dx$ as distinct quantities (``differentials'') that can be measured, calculated, and manipulated independent of one another.  In particular, a differential can be thought of as the (small) change in a quantity when a small change is made to a physical system.  A differential can also be thought of as the difference between the values of a quantity between two different (nearby) physical states.  This line of thinking is also valuable for thinking about integration in physical situations.",,Active,
Concept,Equations can be 'zapped with d' to relate differentials,72,[],[],[$df$],PH 423,,A long description for Equations can be 'zapped with d' to relate differentials is not yet available--feel free to give us your suggestions on the poster!,,Active,70 How is zapping with d different than taking the total derivative?
Concept,Individual differentials can be manipulated algebraically,73,[],[],[],PH 423,,A long description for Individual differentials can be manipulated algebraically is not yet available--feel free to give us your suggestions on the poster!,,Active,
Concept,Total differentials are linear,74,[],[],[$df$],PH 423,,"No matter how complicated a multivariable function is when written as an equation, the total differential of that function will be linear in the differential terms. In other words: $dF(x,y,z)=A dx + B dy + C dz.$",,Active,
Concept,Differentials are small chunks,75,[],[],[$df$],PH 423,,"$df$ can be viewed as a small chunk of $f$. When combined with 'The derivative is a ratio of small changes', it's easy to relate differentials to derivatives.",,Active,
Concept,There are experimental limits to how $small$ of a change can be measured,76,[The derivative is a ratio of small changes],[],"[$\Delta x$,$dx$,Experiment]",PH 423,,"While it is relatively easy to imagine very, very small changes in physical values, there are often experimental limits on how small of a change can be measured. When designing and conducting experiments, there is a tension between these experimental limitations and normative representations of functions as smooth lines or ",,Active,
Concept,The derivative can be interpreted physically,77,[],[],[],PH 423,,"While the constituents of a derivative (the $f$ and $x$ in $\frac{df}{dx}$) can have physical interpretations, the derivative itself can have a different physical interpretation. For example, $\frac{dx}{dt}$ is a velocity.",,Active,Better example needed
Concept,Partial derivatives that do not have the same variable(s) held constant are not the same derivative,78,"[Derivatives can be found while holding one or more variables constant,The value of a partial derivative depends on the value(s) of what is held constant]",[],[$\left(\frac{\partial f}{\partial x}\right)_y$],PH 423,$\left(\frac{\partial f}{\partial x}\right)_y \neq \left(\frac{\partial f}{\partial x}\right)_z$,A long description for Partial derivatives that do not have the same variable(s) held constant are not the same derivative is not yet available--feel free to give us your suggestions on the poster!,,Active,
Concept,Partial derivatives are coefficients in a differentials equation,79,"[The derivative is a ratio of small changes,Differentials are small changes or differences]",[],"[$\frac{\partial f}{\partial x}$,$\left(\frac{\partial f}{\partial x}\right)_y$]",PH 423,$df = \left(\frac{\partial f}{\partial x}\right)_y dx + \left(\frac{\partial f}{\partial y}\right)_x dy$,A long description for Partial derivatives are coefficients in a differentials equation is not yet available--feel free to give us your suggestions on the poster!,,Active,
Concept,You can flip a partial derivative if the same variable(s) are constant,80,"[You can flip a derivative, Derivatives can be found while holding one or more variables constant]",[],"[$\left(\frac{\partial f}{\partial x}\right)_y$,$\frac{\partial f}{\partial x}$]",PH 423,,"In other words, \[\left(\frac{\partial y}{\partial x}\right)_z = \frac1{\left(\frac{\partial x}{\partial y}\right)_z}. \]  Note that this equality is only true if the same variables are being held fixed on each side of the equality.  This therefore relies on the thermodynamics notation that specifies what quantities are being held fixed for a partial derivative.",,Active,
Concept,There might be experimental limits on which quantities you can measure,81,[],[],[Experiment],PH 423,,"While it may be possible to conceptualize a particular derivative, such as $\left(\frac{\partial U}{\partial S}\right)_{V},$ Where $U$ is internal energy, $S$ is entropy, and $V$ is volume, that does not mean that the particular derivative can be directly measured. In the above example, the entropy $S$ is not measurable. ",,Active,
Concept,Differentials allow the finding of partial derivatives when a variable cannot be solved for,82,[Total differentials are linear],[],[$df$],PH 423,,"Because total differentials are linear, one can find the total differential and then solve algebraically to obtain partial derivatives that might not be obtainable though differentiation. ",,Active,
Activity,Zapping with d,83,"[Difference / Change, The derivative is a ratio of small changes, The derivative can be approximated by the slope of a secant line, The derivative is a limit, The derivative is a function, Variables can be held constant]","[Differentials are small changes or differences, Equations can be 'zapped with d' to relate differentials, Individual differentials can be manipulated algebraically, Total differentials are linear]",[$df$],PH 423,LPsmall.jpg,"We would like our students to have both a practical and mathematical understanding of a total differential. In particular, with this activity students learn what the consequences of ``zapping'' a function with the operator ``d'' are. This activity also opens up a conversation on infinitesimals, and their relation to total differentials. The use of variables not associated with the Partial Derivative Machine in this activity allows students to apply the mathematical techniques they have been practicing during the course to a less familiar physical system.",inzapd,Active,
Activity,Energy and Integrals,84,"[Differentials are small changes or differences, Individual differentials can be manipulated algebraically]",[Differentials are small chunks],"[PDM, $df$]",PH 423,inpotentiallab.jpg,This integrated lab activity is designed to ask upper-division undergraduate students to measure the change in potential energy in an elastic system (PDM) between two different states. Students use the Partial Derivative Machine (PDM) to verify experimentally that the forces and dimensions of their system are state variables as well as measure the relationships between these quantities to compute the potential energy of their system. The whole class discussion focuses on the meaning of integration of discrete experimental data.,inpotentiallab,Active,
Activity,Partial Derivative Machine Derivatives,85,"[The derivative is a ratio of small changes, Variables can be held constant, Derivatives can be found while holding one or more variables constant, The value of a partial derivative depends on the value(s) of what is held constant, Differentials are small changes or differences]","[There are experimental limits to how $small$ of a change can be measured, The derivative can be interpreted physically, Partial derivatives that do not have the same variable(s) held constant are not the same derivative, Partial derivatives are coefficients in a differentials equation]","[PDM, $\frac{\partial f}{\partial x}$,$\left(\frac{\partial f}{\partial x}\right)_y$,Table]",PH 423,PDMD.jpg,"In this activity, students experimentally determine various derivatives using the partial derivate machine, a mechanical analogue for thermodynamic systems. Students explore the ratio, limit, and function aspects of multi-variable derivatives, with an emphasis on holding different variables constant. This activity is also an excellent exercise in representational fluency, as students must coordinate experiments and tables of data with (new) symbolic notations. $\textrm{Leibniz Notation}\\ \frac{\partial f}{\partial x} \rightarrow \left(\frac{\partial f}{\partial x}\right)_y$",inisowidth,Active,
Activity,Chain Rules,86,"[The derivative is a ratio of small changes, The derivative is a function, Variables can be held constant, Derivatives can be found while holding one or more variables constant, A partial derivative can be expressed in terms of other partial derivatives, Differentials are small changes or differences, Equations can be 'zapped with d' to relate differentials, Individual differentials can be manipulated algebraically, Partial derivatives that do not have the same variable(s) held constant are not the same derivative, Partial derivatives are coefficients in a differentials equation]","[You can flip a partial derivative if the same variable(s) are constant, There might be experimental limits on which quantities you can measure, Differentials allow the finding of partial derivatives when a variable cannot be solved for]",[$df$],PH 423,pdm.jpg,"NOT CORRECT DESCRIPTION: In this activity, students experimentally determine various derivatives using the partial derivate machine, a mechanical analogue for thermodynamic systems. Students explore the ratio, limit, and function aspects of multi-variable derivatives, with an emphasis on holding different variables constant. This activity is also an excellent exercise in representational fluency, as students must coordinate experiments and tables of data with (new) symbolic notations.",incycchainrule,Active,Not the correct description!
,,,,,,,,,,,Name the Experiment (x3)
,,,,,,,,,,,Name the Experiment (x3)
,,,,,,,,,,,Name the Experiment (x3)
,,,,,,,,,,,Mixed Partials
,,,,,,,,,,,Maxwell's Relations
